StudentID,Gender,Height,Weight,BloodType,PhysicalResult,MonthlyConsumption
65049275,M,1.53,43.58,AB,D,1052.09
33906302,M,1.57,48.03,O,D,816.22
80600488,F,1.6,67.52,O,B,1411.56
42992811,F,1.71,59.39,AB,C,327.43
62397365,M,1.68,54.56,A,D,913.62
63715994,F,1.87,52.41,AB,A,700.39
30916066,M,1.75,72.47,O,A,499.17
99082727,M,1.62,76.57,A,D,1484.6
25799960,M,1.78,70.2,AB,A,601.95
99089524,M,1.77,77.58,B,B,964.17
3655569,M,1.61,71.18,O,B,745.97
30896811,F,1.74,73.07,O,A,1247.09
67308443,F,1.64,43.71,AB,C,414.44
83993243,M,1.73,64.34,B,D,1449.46
1933221,M,1.75,71.39,AB,D,1044.69
30619333,F,1.62,79.4,A,A,734.76
58082058,M,1.72,60.2,O,A,867.84
53875387,F,1.55,60.93,A,B,1199.07
79690176,F,1.52,42.37,O,C,814.21
39986499,M,1.81,47.08,AB,A,696.5
11553106,M,1.79,78.25,A,A,1465.42
16467699,M,1.61,44.56,A,C,1422.59
30881696,M,1.87,47.6,A,D,759.87
36341423,M,1.87,43.45,AB,B,1094.55
72407281,F,1.72,60.88,A,D,1289.67
48493652,M,1.82,46.65,O,A,1343.37
38499469,F,1.74,58.83,AB,D,685.21
71903838,F,1.61,49.21,A,C,1144.67
71660980,F,1.72,46.38,AB,C,1104.53
1715452,M,1.88,48.17,O,A,509.45
26974461,M,1.62,55.05,AB,B,1463.06
14003230,M,1.86,79.57,O,C,1145.87
3460793,M,1.76,68.48,O,B,764.56
18704653,F,1.85,55.23,O,A,598.72
11899193,M,1.64,54.5,A,B,1231.88
44241640,F,1.74,74.95,A,C,1010.89
88746058,F,1.57,72.51,A,C,1206.17
57116202,M,1.51,78.03,A,C,301.55
68734647,M,1.72,55.79,B,B,404.26
67996880,M,1.73,58.05,AB,C,589.57
38160214,M,1.82,42.0,O,A,563.62
59619608,M,1.88,71.04,A,D,1301.19
3357294,F,1.66,68.46,AB,D,1232.52
81021546,F,1.82,66.87,A,D,484.45
44190443,F,1.6,68.56,O,B,317.08
14919102,M,1.82,60.67,O,B,729.6
65306348,F,1.54,71.58,O,C,583.62
3040220,F,1.66,76.1,B,B,705.85
80937849,M,1.78,48.37,AB,B,516.4
43614332,F,1.69,44.16,AB,A,481.8
39893242,F,1.6,50.07,A,C,826.14
35764089,F,1.55,79.69,AB,A,1422.25
98717996,M,1.51,51.65,A,A,887.14
44662112,F,1.8,61.83,AB,D,485.04
63270880,F,1.65,57.26,B,A,599.38
73918693,F,1.76,68.7,O,B,1446.88
78854370,M,1.72,64.38,O,D,639.22
62717307,M,1.56,66.65,B,C,433.09
96804604,M,1.71,56.62,AB,C,376.59
90961076,F,1.66,49.86,A,D,857.45
93644107,F,1.56,48.36,A,C,403.93
52518805,M,1.6,67.56,O,C,457.5
